Video Id,Primary Label,Predicted Label,Languages,Response
0lSxjDYdvpQ,irrelevant,appropriate,"['Hindi', 'English']","{""label"":""appropriate"",""justification"":""The video appears to be set in a serene outdoor environment, with people engaging in everyday activities like sitting, walking, and interacting with each other. The audio transcription mainly consists of repeated sounds and a portion that seems to be a song. There is no indication of violence, offensive language, sexual or disturbing content, or any other themes mentioned in the criteria that would make it inappropriate for children under 9. The language spoken in part of the video seems to be Hindi."",""languages"":[""Hindi"",""English""]}"
91RtI6ZG2bc,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The transcription contains violent language (e.g., references to guns and fights) which suggests elements of physical violence and possibly glorifies them. Such themes are not suitable for children under 9. The visual content does not provide clear context to counterbalance these impressions."",""languages"":[""English""]}"
XYZqASRpVjw,irrelevant,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription contains themes of violence and distress (references to guns, bullets, knives, and emotional pain), which are inappropriate for children under 9. The visual elements may not directly suggest these themes, but the combination of audio and visual content makes the overall message unsuitable for young viewers."",""languages"":[""English""]}"
tveNRvq_AHQ,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The video shows a person receiving a package, using a mobile phone, and trying on clothes. The audio transcription is about online shopping and free shipping in Venezuela. There are no inappropriate themes such as violence, self-harm, or adult content. The language spoken is Spanish."",""languages"":[""Spanish""]}"
JI1wKCWXs-k,irrelevant,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The video may be considered inappropriate as it shows an image of a woman wearing a sports bra, which could be seen as inappropriate clothing due to significant skin exposure. Additionally, the language used in the transcription suggests themes around body image and seeking a 'perfect balance,' which might not be suitable for children under 9."",""languages"":[""English""]}"
wRphOClTu6U,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video content is related to student loans and checking eligibility, which doesn't fall under any inappropriate categories such as violence, sexual content, or offensive language. The audio transcription ('Thanks for watching!') is neutral and appropriate. There are no signs of inappropriate visual elements in the image provided."",""languages"":[""English""]}"
yvHfl1JEPc0,irrelevant,appropriate,['Japanese'],"{""label"":""appropriate"",""justification"":""The video content shows people dancing and bowling, which is generally suitable for children. The audio transcription contains themes of self-improvement and facing challenges, which can be seen as motivational. There are some mentions of feeling depressed and burning, but these are metaphorical and not explicit or intense. Overall, it does not contain content like violence, explicit language, or other elements considered inappropriate for children under 9."",""languages"":[""Japanese""]}"
tutsijNjRxQ,irrelevant,appropriate,"['Spanish', 'English']","{""label"":""appropriate"",""justification"":""The video appears to contain promotional content for a web browser aimed at gamers, with no explicit violence, sexual content, inappropriate language, or any themes that would be considered harmful or frightening for children under 9. Although it uses terms like 'old man' which might seem slightly disrespectful, it's more in a light-hearted or humorous context rather than serious belittling. The mention of fart sounds refers to a customization feature, not something offensive or harmful. The language spoken is Spanish and English."",""languages"":[""Spanish"",""English""]}"
uxJnRMrPkkw,inappropriate,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video grid shows stylized visuals with blue-skinned characters engaging in non-threatening, artistic activities. The audio transcription contains musical lyrics about love and self-expression. There is no depiction of violence, self-harm, scariness, sexual content, discrimination, offensive language, or other inappropriate themes for children. The content is visually and audibly focused on music and artistic expression, which is generally appropriate for children."",""languages"":[""English""]}"
SVEKXcznKns,irrelevant,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription includes mentions of death and dying, which can be distressing for children. The video also seems to depict scenes with face painting or masks that might be considered creepy. Together, these elements make the content inappropriate for children under 9."",""languages"":[""English""]}"
rw9KbLsLPlk,irrelevant,appropriate,"['English', 'Japanese']","{""label"":""appropriate"",""justification"":""The video comprises landscape and historical sites imagery along with a historical narrative about Tokugawa Ieyasu. There are no depictions of violence, gore, self-harm, or other sensitive content outlined in your criteria. The imagery is focused on nature and historical architecture, which is generally suitable for children under 9."",""languages"":[""English"",""Japanese""]}"
BHWlOpk4RJQ,inappropriate,inappropriate,['Spanish'],"{""label"":""inappropriate"",""justification"":""The audio transcription contains suggestive themes related to partying, alcohol, and possible innuendoes about relationships. The visual content shows images of adults in a party setting, potentially with alcohol. These elements may not be suitable for children under 9."",""languages"":[""Spanish""]}"
0bm4NHfPJ0I,irrelevant,appropriate,"['English', 'Hindi']","{""label"":""appropriate"",""justification"":""The video appears to be a musical performance with individuals playing musical instruments and singing. The lyrics of the song are about love and separation, containing themes of longing and emotional pain typically found in romantic songs. The visual elements do not depict any violence, sexual content, offensive language, or other inappropriate content for children. The romantic and emotional themes might not be engaging for very young children but are not inappropriate."",""languages"":[""English"",""Hindi""]}"
eIrbLp17VZM,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The images show a person in a kitchen setting interacting with a refrigerator, which appears to be an advertisement for home appliances. The text on the images is in Spanish, describing features of the fridge like 'Diseñada por ti, para ti' and 'Máquina de hielo', which translates to 'Designed for you, by you' and 'Ice machine'. The audio transcription only includes a music note symbol (🎵), indicating background music without specific lyrics or spoken content. There is no presence of violence, suggestive content, offensive language, drugs, or any other elements mentioned in the criteria for inappropriateness for children."",""languages"":[""Spanish""]}"
7DJZ96vMqZc,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video and audio transcription content focuses on registering a domain name with GoDaddy and promoting a business online. There is no indication of violence, explicit language, inappropriate themes, or any other unsuitable content for children under 9. The visuals appear to show a business setting and product showcase, which are appropriate for children."",""languages"":[""English""]}"
-9hNB-jt8_s,inappropriate,inappropriate,"['English', 'Spanish']","{""label"":""inappropriate"",""justification"":""The video contains elements of violence and potentially threatening language, as seen in phrases like 'I'm going to break your family' and depictions of high-speed chases or stunts. Such content is likely not suitable for children under 9. Additionally, the mention of 'Rápidos y Furiosos,' which is known for action and cars, suggests themes of danger and reckless behavior."",""languages"":[""English"",""Spanish""]}"
Od5zyGTKJos,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The video's transcription contains offensive language (\""idiot\"", \""loser\"", \""I'm sick of this shit\""), references to drinking (\""You drink champagne\""), and potentially manipulative language (\""What are you doing, idiot?\""). The visual content includes individuals wearing clothing with significant skin exposure. This makes the video inappropriate for children under 9."",""languages"":[""English""]}"
zYiRzDrA0q0,irrelevant,appropriate,"['English', 'Spanish']","{""label"":""appropriate"",""justification"":""The video and lyrics discuss themes of love, heartbreak, and moving on, which are common in romantic songs. There is no mention of explicit content, violence, offensive language, or other elements listed as inappropriate for children. The visuals appear to be of a performance setting with lights and a singer, which do not suggest inappropriate content."",""languages"":[""English"",""Spanish""]}"
odDZGqd8jTo,inappropriate,inappropriate,"['English', 'Telugu']","{""label"":""inappropriate"",""justification"":""The video contains romantic and intimate themes both in the lyrics and visuals, depicting scenes of affection and expressions of love, which might not be suitable for children under 9. Additionally, phrases like \""You made me fall in love\"" may embody themes that are not appropriate for this age group. The visuals include scenes of a couple walking together romantically, which further emphasize these themes."",""languages"":[""English"",""Telugu""]}"
_4bBE7Ved7s,inappropriate,inappropriate,"['English', 'Spanish']","{""label"":""inappropriate"",""justification"":""The video and lyrics contain sexual suggestiveness and explicit content, which makes it inappropriate for children under 9."",""languages"":[""English"",""Spanish""]}"
rMnxnd9HvsQ,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The video features inspirational and motivational themes related to sports and personal achievements. The audio transcription talks about overcoming obstacles, unity, and effort. The visuals depict sports activities and various people engaging in physical challenges, which appear to be empowering and positive. There is no presence of violence, inappropriate language, sexual content, or any other elements that would make it inappropriate for children under 9."",""languages"":[""Spanish""]}"
3-4On39BEik,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video appears to show computer hardware with scenes focused on equipment setup and multiple displays showing charts, which is neutral and technical in nature. The audio transcription is of a repeated 'Thank you,' which is harmless. There is no content related to violence, self-harm, scariness, sexual content, discrimination, offensive language, substance use, inappropriate clothing, death, or intimacy. Therefore, it is appropriate for children under 9."",""languages"":[""English""]}"
DKdrp_D0YHc,inappropriate,inappropriate,"['English', 'Hindi']","{""label"":""inappropriate"",""justification"":""The video contains references to potentially dangerous interactions, such as drinking and seeing 'fire in his eyes,' which can imply intoxication or other unsettling elements. The imagery may also suggest some elements of mature themes or interpersonal conflict. These combined factors make it potentially inappropriate for children under 9 years old."",""languages"":[""English"",""Hindi""]}"
PZR__M3uen4,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video focuses on promoting the Opera GX browser, highlighting its features like fast browsing and integration with apps like WhatsApp, Twitter, TikTok, etc. The content is primarily informative and promotional without any inappropriate themes listed in the criteria, such as violence, sexual content, offensive language, or distressing elements. Additionally, the imagery and textual content are consistent with the audio, showing browser features. There are no elements of scariness, discrimination, or dangerous activities."",""languages"":[""English""]}"
CY7_jubZ5EM,inappropriate,inappropriate,"['English', 'Spanish']","{""label"":""inappropriate"",""justification"":""The audio mentions romantic and sensual themes ('love in Dubai', 'Un beso, dos beso'), which could be considered inappropriate for children under 9. Additionally, the visuals depict adults in nightlife or party settings, which might display inappropriate clothing and potentially adult-themed behavior."",""languages"":[""English"",""Spanish""]}"
DoLzbkRYtIM,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription includes discussions of adult themes such as heartache, relationships, and sexuality (e.g., 'no love, no sex'). The visual content shows what appears to be a party or gathering, potentially involving adult social settings which are unsuitable for young children. These elements make it inappropriate for children under 9 as they include themes of intimacy and relationship struggles, which are not age-appropriate."",""languages"":[""English""]}"
XJ1Bmb3ZwE8,irrelevant,appropriate,['Kannada'],"{""label"":""appropriate"",""justification"":""The video seems to depict a story involving respect and care for elders, as suggested by images of people interacting positively and respectfully with an elderly person. There are no visible signs of violence, self-harm, scariness, discrimination, or any other inappropriate themes described in the provided criteria. The language is Kannada, and the audio transcription does not contain inappropriate content. It talks metaphorically about family and caring relations, which is appropriate for children."",""languages"":[""Kannada""]}"
6X40BogK2k0,inappropriate,inappropriate,"['English', 'Serbian']","{""label"":""inappropriate"",""justification"":""The video contains elements that may be considered inappropriate for children under 9. The audio transcription includes suggestive themes related to romance and alcohol consumption ('pour a little vodka over the ice'), and there is a mention of 'killing a little.' The imagery shows characters in revealing outfits and potentially romantic or suggestive interactions. These elements fall under categories like romantic themes, alcohol, and inappropriate clothing mentioned in the guidelines, making the content unsuitable for young children."",""languages"":[""English"",""Serbian""]}"
MWuAZjeloLU,irrelevant,inappropriate,['Turkish'],"{""label"":""inappropriate"",""justification"":""The video's audio transcription contains themes of heartbreak, loss, and emotional distress which may be too mature for children under 9. The visuals show potentially inappropriate elements such as suggestive poses and revealing outfits, making it unsuitable for young children."",""languages"":[""Turkish""]}"
0Ahim5aJmp8,irrelevant,appropriate,['Korean'],"{""label"":""appropriate"",""justification"":""The video contains scenes of people dancing and socializing in various settings such as a school, beach, and sports field. The imagery suggests a friendly, high-energy environment without any visible signs of violence, nudity, offensive language, or mature themes. The lyrics also focus on concepts like curiosity, imagination, nature, and enjoying the moment, without explicit references to inappropriate content for children under 9. The use of the term 'fire' is metaphorical and doesn't suggest real danger or violence. Overall, both the visuals and audio are suitable for a young audience."",""languages"":[""Korean""]}"
5WXtbxIYtSQ,irrelevant,inappropriate,['Spanish'],"{""label"":""inappropriate"",""justification"":""The video seems to involve themes that are inappropriate for children, such as promoting joining a group for financial activities ('free operations in this market'), which may involve gambling or financial risk. Additionally, the image shows individuals with masks, which may be considered creepy or suspicious to children."",""languages"":[""Spanish""]}"
1VUvCY1VlIw,inappropriate,inappropriate,['Spanish'],"{""label"":""inappropriate"",""justification"":""The video contains romantic themes and intimacy as evidenced by the hugging depicted in the images. The audio transcription also discusses themes of love and heartbreak, making it unsuitable for children under 9 years old."",""languages"":[""Spanish""]}"
VnS_kQ-eoSw,irrelevant,appropriate,"['English', 'Spanish']","{""label"":""appropriate"",""justification"":""The video does not show any content related to violence, self-harm, scariness, extreme stunts, sexual content, or offensive language. The conversation and images depicted are about cleaning and listening to music, which do not appear inappropriate for children under 9. The song lyrics do not contain any themes listed as inappropriate for children."",""languages"":[""English"",""Spanish""]}"
_qvMIBv2iS4,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The video stills and available audio transcription indicate a focus on a hotel experience, showcasing comfortable amenities and possibly featuring people enjoying hotel services. There are no visible elements of violence, scariness, sexual content, discrimination, offensive language, or any other inappropriate themes listed in the definition for children under 9. The language visible is Spanish, indicated by words like 'Descubre' and 'Hoteles confortables'."",""languages"":[""Spanish""]}"
jR-gYFNLVxs,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video transcription and images describe and show a demonstration of Doodly software, which is used to create animation videos. The content is focused on how easy it is to use the software and make videos, without any elements that would be inappropriate for children under 9 years old. It lacks any mention of violence, scariness, sexual content, offensive language, or any other inappropriate themes. The language spoken is English."",""languages"":[""English""]}"
K25-4m1-cO0,inappropriate,inappropriate,"['Spanish', 'English']","{""label"":""inappropriate"",""justification"":""The video contains elements that are inappropriate for children under 9. The audio transcription features explicit language, references to drugs and alcohol, and potentially offensive content. Additionally, the images show scenes with alcohol consumption, which are not suitable for young children."",""languages"":[""Spanish"",""English""]}"
5eAMChvBuu0,irrelevant,appropriate,"['English', 'Spanish']","{""label"":""appropriate"",""justification"":""The video focuses on themes of perseverance, dreaming big, and personal achievements. It includes scenes of karate practice, rock climbing, and playing soccer. These activities are shown in a motivational context, emphasizing hard work and overcoming challenges. Although rock climbing is depicted, it is presented as a metaphor for determination rather than as a dangerous or reckless activity. The video does not include any inappropriate content such as violence, horror, sexual content, or offensive language, making it suitable for children under 9."",""languages"":[""English"",""Spanish""]}"
4QfrtRI2CAM,irrelevant,appropriate,"['Spanish', 'English']","{""label"":""appropriate"",""justification"":""The video depicts a person shopping for clothes, and there is no visible content indicating physical violence, self-harm, scariness, extreme stunts, sexual content, discrimination, offensive language, substance use, crude humor, inappropriate clothing, death, or intimacy. The audio transcription is just 'Thank you' in a positive context without any inappropriate elements."",""languages"":[""Spanish"",""English""]}"
zZDMTqrVt5Y,inappropriate,inappropriate,"['English', 'Spanish']","{""label"":""inappropriate"",""justification"":""The video contains themes of violence and potentially unsafe actions, as evidenced by images depicting possible physical confrontations and apprehensive environments. The audio transcription includes references to potentially harmful behavior (\""I would kill to return\"") and sensual themes (\""forbidden apple\""), which can be distressing and inappropriate for children under 9. Additionally, the visual and lyrical elements seem to combine in a way that may be unsettling or confusing for young viewers."",""languages"":[""English"",""Spanish""]}"
Qoe-fs1NINY,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription contains offensive language, negative themes such as deception and betrayal, and references to violence and hostility. This type of content is not suitable for children under 9. The imagery in the video, featuring dark and neon settings, complements the mood of the lyrics, potentially making it even less appropriate for young viewers."",""languages"":[""English""]}"
zlITt-ZABzA,inappropriate,inappropriate,"['Polish', 'English']","{""label"":""inappropriate"",""justification"":""The video contains scenes with kissing and possibly women in clothing showing significant skin, which can be interpreted as suggestive. The lyrical content includes references to kissing left and right, which, alongside the visual of people in possibly a party setting, might suggest romantic or suggestive situations that aren't suitable for children under 9. The presence of alcohol or party glasses also indicates an adult setting. The language is primarily Polish."",""languages"":[""Polish"",""English""]}"
tnpOnWgKW7w,inappropriate,appropriate,"['French', 'English']","{""label"":""appropriate"",""justification"":""The video and transcription do not contain any elements such as physical violence, self-harm, scariness, sexual content, discrimination, offensive language, or any other themes that are generally considered inappropriate for children under 9. The content appears to be conversational and focused on personal insights and experiences. There is a discussion about historical figures and hypothetical questions, but nothing suggests inappropriate content by the given criteria."",""languages"":[""French"",""English""]}"
-y7ABBoUwZQ,irrelevant,appropriate,['Arabic'],"{""label"":""appropriate"",""justification"":""The video shows scenes of exploration and camping in a natural setting, which are generally suitable for children. The audio consists of music and lyrics in Arabic with no inappropriate content. There are no elements of violence, scariness, self-harm, or inappropriate behavior in the provided images or transcription."",""languages"":[""Arabic""]}"
HJHQ2omtefQ,irrelevant,inappropriate,"['English', 'French']","{""label"":""inappropriate"",""justification"":""The audio transcription includes themes of mental distress, familial issues, and the presence of 'old demons', which might suggest internal conflict or trauma. These themes are nuanced and potentially disturbing for young children. Additionally, phrases like 'enemy of my life' and discussions about severe parental relationships suggest negativity and complex emotional states which may not be suitable for children under 9. The visuals, such as a person being blindfolded, might also be unsettling or confusing for young viewers."",""languages"":[""English"",""French""]}"
kZKLpTHMjY4,irrelevant,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription includes interpersonal violence, as it mentions a derogatory term 'bastard' which is considered offensive language. Such content is not suitable for children under 9."",""languages"":[""English""]}"
DqjHWE1AUOM,inappropriate,inappropriate,"['English', 'Italian']","{""label"":""inappropriate"",""justification"":""The video has scenes that suggest alcohol consumption, as visible in several clips where characters hold bottles. There are also potentially distressing scenes, such as people in a hospital or medical setting, with a person visibly upset, supporting the concern of mental distress. The themes of romance and intimacy are evident in some images, which might be inappropriate for children under 9. The combination of these factors makes it inappropriate for young children."",""languages"":[""English"",""Italian""]}"
y4Oba5bJM7M,irrelevant,inappropriate,"['English', 'Turkish']","{""label"":""inappropriate"",""justification"":""The imagery and themes in both the visuals and audio transcription indicate mature content. The visuals feature somber, intense expressions and settings that could be suggestive or representative of themes not suitable for young children. The transcription includes themes of despair and emotional distress, including references to hopelessness and living 'in hell,' which could be distressing for children. Such content is likely to be emotionally disturbing or confusing for viewers under 9 years old."",""languages"":[""English"",""Turkish""]}"
trhrBTl1noM,inappropriate,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The images display a digital puzzle game environment with characters interacting in a non-violent, strategic manner. The audio transcription promotes solving puzzles, which aligns with the visual theme of a puzzle game. There is no presence of violence, horror, offensive language, or other inappropriate content listed in the guidelines. The game appears to be more of a strategy or puzzle type, suitable for children. The language spoken is English."",""languages"":[""English""]}"
brk41Rl4TXk,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The video contains elements that could be considered inappropriate for children under 9, such as potentially aggressive posturing, romantic themes involving adults, and scenes that suggest intimidation (e.g., people standing behind a fence). The lyrics mention interpersonal conflict and aggressive language, which could be concerning for young viewers. Therefore, from both the visual and audio perspective, it may not be suitable for young children."",""languages"":[""English""]}"
X7lRGozX8KQ,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The video contains themes of physical and interpersonal violence, as indicated by the audio transcription (references to crushing, fighting, and destroying injustice), and depicted battle scenes. Such content can be deemed scary or distressing for children under 9 years old."",""languages"":[""English""]}"
wcIkT6k4maA,irrelevant,appropriate,"['English', 'Vietnamese']","{""label"":""appropriate"",""justification"":""The video and audio transcription do not contain content that matches the criteria for inappropriateness. The conversation revolves around cakes and humorous banter without any violent, sexual, discriminatory, or distressing themes. The visuals appear to depict a friendly environment, likely involving a promotional event, and there is no evident inappropriate clothing or risky behavior. Therefore, the content seems suitable for children under 9."",""languages"":[""English"",""Vietnamese""]}"
cMkCx4MIKPc,inappropriate,inappropriate,['Spanish'],"{""label"":""inappropriate"",""justification"":""The video contains themes of intimacy and sensuality, with lyrics referring to being naked together, increasing heat when close, and other suggestive content. This is not suitable for children under 9."",""languages"":[""Spanish""]}"
QJ67Pf8PLdk,inappropriate,inappropriate,"['English', 'Punjabi']","{""label"":""inappropriate"",""justification"":""The audio transcription includes offensive language, references to inappropriate relationships, and other mature themes that are not suitable for children. The visual content appears to depict adults in various situations, which may include interpersonal conflict. The combination of these elements makes the video inappropriate for children under 9."",""languages"":[""English"",""Punjabi""]}"
No7jRMxrghc,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The video and its audio transcription focus on promoting a product related to pipes and polyfusion connections, emphasizing innovation, quality, and durability. There is no mention or depiction of violence, sexual content, offensive language, or any other inappropriate themes for children. The content is technical and product-oriented, making it appropriate for children under 9, although they may not find it engaging."",""languages"":[""Spanish""]}"
ZidIBs2kVE4,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription includes sexual innuendos and explicit content, which is inappropriate for children under 9 years old. The lyrics talk about sexual activities and contain mature themes. The visuals seem to support these themes with intimate imagery that could reinforce the inappropriate nature of the content."",""languages"":[""English""]}"
hTLQtIlNo9A,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription includes themes of 'lies' and possibly intense emotional situations with phrases like 'crumbling' and 'poor minds pretending.' The visuals include people wearing traditional or tribal attire which may not be appropriate in terms of \""significant skin exposure.\"" These factors suggest the content might not be suitable for children under 9."",""languages"":[""English""]}"
tLK9GXAopC8,inappropriate,inappropriate,"['English', 'Spanish']","{""label"":""inappropriate"",""justification"":""The video features elements that might be considered inappropriate for children under 9. Firstly, it involves themes of military history and battle, which could include physical violence, even if depicted in a cartoonish manner. Secondly, the mention of 'waifus' and '抱き枕' (body pillows printed with anime characters) might introduce sexual suggestiveness or anime-specific adult themes that are not suitable for young children."",""languages"":[""English"",""Spanish""]}"
rensua3mgXw,inappropriate,inappropriate,"['Punjabi', 'English']","{""label"":""inappropriate"",""justification"":""The video appears to focus on themes of romance and intimacy, as seen in the images and supported by the song lyrics, which discuss being close and holding someone dear. Such themes might be too mature for children under 9. While there is no explicit inappropriate activity, the overall romantic nature makes it unsuitable for very young audiences."",""languages"":[""Punjabi"",""English""]}"
HCf5--mIKJ0,irrelevant,appropriate,['Spanish'],"{""label"":""appropriate"",""justification"":""The images show a person interacting with clothing and a room with what appears to be fashion or shopping content. The visuals do not depict any violence, scariness, self-harm, inappropriate clothing, discrimination, or other elements listed as inappropriate for children. The audio transcription is simply a repetition of the name 'Mercado Libre', which is not offensive or inappropriate. Overall, the content is safe for children."",""languages"":[""Spanish""]}"
-OAFDo7493A,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video consists of abstract and technological imagery, such as colorful shapes, space-themed graphics, and promotional content for a product exhibition. There is no depiction of violence, self-harm, scariness, or inappropriate content as defined. The audio transcription is a simple musical phrase followed by the words 'Thank you,' which is benign. The language appears to be English, based on the transcription."",""languages"":[""English""]}"
8EPJiFfWRfw,inappropriate,inappropriate,"['English', 'Hindi']","{""label"":""inappropriate"",""justification"":""The video includes themes of romance and intimacy, evident through visual content such as close physical interaction and dancing, and audio discussion of marriage and relationships. The conversation about virginity and personal relationships includes mature themes not suitable for children under 9. Furthermore, some scenes might imply themes of discomfort or mockery, which could confuse young children."",""languages"":[""English"",""Hindi""]}"
4USYueHKaPo,inappropriate,inappropriate,"['English', 'Spanish']","{""label"":""inappropriate"",""justification"":""The video depicted in the images contains scenes showing someone smoking, which is inappropriate for children due to promotion of smoking behavior. Additionally, the video includes themes of melancholy and anxiety in the audio transcription, along with a focus on romantic relationships and lyrics that discuss intimacy and separation. These mature themes may not be suitable for children under 9. Furthermore, the presence of motorcycle stunts may depict risky behavior that could endanger someone, making the video inappropriate for young viewers."",""languages"":[""English"",""Spanish""]}"
qZKNY_jwcu8,inappropriate,inappropriate,"['Spanish', 'English']","{""label"":""inappropriate"",""justification"":""The audio transcription contains elements of violence, aggression, and inappropriate behavior suggesting retaliation and harm, which are not suitable for children under 9. The imagery also suggests intimacy and settings not appropriate for children."",""languages"":[""Spanish"",""English""]}"
5gJsNihESn4,inappropriate,inappropriate,['English'],"{""label"":""inappropriate"",""justification"":""The audio transcription mentions themes of dying, burning, and emotional distress. The imagery includes scenes of potential conflict and unsafe situations, such as a scuffle and an unsettling facial expression. These elements could be mentally distressing and are not suitable for children under 9."",""languages"":[""English""]}"
Lt7Ul-FcOyo,irrelevant,appropriate,['English'],"{""label"":""appropriate"",""justification"":""The video content and transcription describe a professional industry event, focusing on networking, technologies, business opportunities, and discussions related to the gas sector. There are no elements of violence, horror, sexual content, inappropriate language, or any other criteria that would make it inappropriate for children under 9. The content is more likely to be considered boring or irrelevant for young children, but not inappropriate."",""languages"":[""English""]}"
