,Unnamed: 0,Video Id,Primary Label,Predicted Label (Child Directed or not),Response
77,77,VthTaODYLEE,True,Child Directed,"The title and thumbnail suggest a child-directed video. The title includes terms like ""Mermaid"" and ""Pirate Dad,"" which are common themes in children's entertainment.  The thumbnail shows cartoonish characters and bright colors, further indicating that it is likely aimed at a young audience. The mention of ""3D Cartoon"" also points towards animation style typically used for children's content."
78,78,W8lvGQZbRJs,True,Child Directed,"The thumbnail displays cartoonish characters in a vibrant, colorful environment. The title mentions ""Gameplay Trailer,"" suggesting a game intended for a broad audience, including children.  The overall aesthetic aligns with child-appealing elements, such as whimsical themes and non-violent gameplay."
79,79,xcKD3yLOJbo,True,Child Directed,"The video is an animated story, which is a common format for children's content. The title mentions ""Stories for Teenagers"", but the thumbnail shows cartoonish visuals and characters, suggesting a style that is likely to appeal to children.  The presence of a fairy tale theme also points towards child-directed content."
80,80,Y73yweRXBZU,True,Child Directed,"The title ""UglyDOLLS 'UglyDog' Clip"" and the thumbnail suggest an animated movie clip featuring cartoonish characters, which are common child-appealing elements.  The presence of a cute, blue cat-like character further supports this. While a metal dog might seem intimidating, within the context of a children's movie, it's likely presented in a light-hearted, non-threatening way."
81,81,YaM4GHbEw8U,True,Not Child Directed,"The title ""Mike Teavee Song"" and the thumbnail suggest a video related to the character Mike Teavee from ""Willy Wonka and the Chocolate Factory."" While the original movie has some child-appealing elements, a song about the character doesn't automatically make it child-directed.  The song itself might contain mature themes or references not suitable for children, or it might be a parody aimed at an adult audience. Without further information about the song's content, it's safer to label it as ""Not Child Directed."""
82,82,yDWwz3wZFVg,True,Child Directed,"The title, ""CAT DETECTIVE the CARTOON!! Adley & Dad help Granny Mom! Finding Lost Cats and Digital Roblox pets!"" indicates a cartoon format and family-friendly theme.  The thumbnail shows cartoonish characters and bright colors, further supporting the child-directed nature of the content. The presence of a child (Adley) and a parent (Dad) also suggests a family-oriented audience."
83,83,YfsjUrIcnjc,True,Child Directed,"The video is an animated movie clip from Encanto, a film known for its family-friendly themes, colorful animation, and child-appealing characters.  The title ""ENCANTO Promo"" further suggests that it is promotional material for a children's movie."
84,84,YG7AM4e2I_g,True,Child Directed,"The video title ""Fall Guys - Space Launch"" and thumbnail suggest a cartoonish and whimsical theme, featuring a Fall Guy character in a playful space setting.  The game Fall Guys itself is known for its light-hearted, non-violent gameplay and colorful visuals, making it highly appealing to children. Therefore, the video is likely child-directed."
85,85,YSPT1-AibmA,True,Child Directed,"The title ""BEDTiME STORiES 📚 Pirate Pool, Finding Niko, Zombie island, and Fairy Glitter Fun with Adley & Dad"" indicates a story time video with child-appealing themes.  The thumbnail shows cartoonish characters and bright colors, further supporting the child-directed nature of the content. The themes of pirates, fairies, and a zombie island are presented in a light-hearted and whimsical way, suitable for children."
86,86,zEKV3uMbVCY,True,Child Directed,"The title ""UglyDolls Movie Clips & Trailers Compilation"" suggests a movie aimed at children.  The thumbnail shows cartoonish characters, which is a common element in children's animation. These factors strongly indicate that the video is child-directed."
87,87,zEnppRdS7Jw,True,Child Directed,"The title ""THE BAD GUYS"" and the thumbnail suggest an animated movie with cartoonish characters, which are common child-appealing elements.  The presence of light-hearted mischief is also typical of children's animation. Therefore, it's likely child-directed."
88,88,58BHUsD24vs,False,Not Child Directed,"The video title, ""How to Not Waste Your Life (Stop Getting Distracted)"", and the thumbnail suggest a focus on productivity and time management, which are not typically child-directed topics.  The thumbnail shows an adult individual, further indicating that the content is not intended for children."
89,89,5i3Y14TNqCI,False,Not Child Directed,"The video discusses complex geopolitical and economic issues such as tariffs and international trade, which are not suitable for children.  The thumbnail shows trucks and a flag, not child-appealing elements. The title also indicates a focus on adult topics."
90,90,7IGKCkcsuew,False,Not Child Directed,"The video depicts the aftermath of a natural disaster, showing destruction and debris.  This content is not suitable for children due to its mature and potentially upsetting subject matter."
91,91,99_TWz5rtX4,False,Not Child Directed,"The video is a highlight reel of a professional soccer game.  The content features a well-known adult athlete, and the subject matter is a competitive sporting event.  There are no child-appealing elements present, and the content is not designed for children."
92,92,9yjRbGgpaXE,False,Not Child Directed,"The thumbnail shows three adults, and the title suggests political commentary, which are not appropriate for children."
93,93,A3JGXlPIrk8,False,Not Child Directed,"The video discusses political unrest and protests, which are mature themes inappropriate for children.  The visuals include images of violence and conflict, further excluding it from the child-directed category."
94,94,a4wyXPUAEc8,False,Not Child Directed,The video thumbnail shows a serious news segment with a politician. The title mentions political issues like tax hikes and criticism of a political leader. These elements are not suitable for children.
95,95,c3FFdZaPfeM,False,Not Child Directed,"The thumbnail shows a graph and a trading card, and the title mentions ""stock market.""  These elements are not typically associated with content designed for children. The subject matter of economics and trading cards is too complex for a child audience."
96,96,cIAoz2ebBoU,False,Not Child Directed,"The video thumbnail shows a zombie and a weapon, which are not child-friendly elements.  The title mentions ""Zombies"" and ""Easter Egg"", which are not typically associated with content for children.  Therefore, the video is not considered child-directed."
97,97,cUiA1mzXs9Y,False,Not Child Directed,"The video is a stand-up comedy routine by Max Amini. Stand-up comedy typically involves adult humor and themes that are not suitable for children.  The title ""Top Hilarious Aussie Hits"" and the thumbnail showing an adult comedian suggest that the content is not intended for a child audience."
98,98,cWkPUZrbrgI,False,Not Child Directed,"The video features Tom Hardy, an adult actor, and discusses the movie Venom, which is not a children's movie.  The presence of a dog does not make the content child-directed, as the overall theme and context are not geared towards children."
99,99,d8Pcsj9UVgA,False,Not Child Directed,"The thumbnail shows a serious image of Kim Jong Un, and the title, ""How North Korea became the world’s most reclusive country,"" suggests a discussion of complex political and historical events.  These elements are not suitable for children."
100,100,dF965ll2J0c,False,Not Child Directed,"The video focuses on a stretching routine for women over 50.  The title and thumbnail do not suggest child-appropriate content. The target audience is clearly adults, making it unsuitable for children."
101,101,DfwA3qMzsfo,False,Not Child Directed,"The video depicts a rocket launch, which is not a theme typically associated with children's content.  The title mentions a ""massive static fire,"" suggesting potentially dangerous or intense imagery unsuitable for young viewers.  The overall tone and subject matter are not child-appealing."
102,102,dK2uKyBgdEc,False,Not Child Directed,"The video discusses a serious topic, the death of a young man, and includes emotional interviews.  The title and thumbnail suggest a somber and mature tone, making it unsuitable for children."
103,103,Ds5Ntjn3gGA,False,Not Child Directed,"The thumbnail shows Donald Trump speaking intensely into a microphone. The title mentions ""Trump LOSES IT"" and ""PUMMELED,"" suggesting a heated or confrontational situation.  These elements are not suitable for children."
104,104,EjJezkTDI6w,False,Not Child Directed,"The title ""Hanging the hangman's..."" suggests a potentially dangerous or violent activity, and the thumbnail shows construction work, which is not typically considered child-friendly.  Therefore, the video is not child-directed."
105,105,eWXOTZPdcok,False,Not Child Directed,"The video is about Formula 1 racing, a topic that is not typically associated with children.  The thumbnail shows a fast-moving race car, and the title mentions a 'Tech Talk' and a sponsor, which are not child-appealing elements.  The content is unlikely to include child-friendly visuals, themes, or narratives."
106,106,fQqmXyXLHSg,False,Not Child Directed,"The video's title and thumbnail suggest a discussion of voter fraud, a topic that is complex, politically charged, and not suitable for children.  The thumbnail shows an adult woman speaking at a press conference, and the title directly references 'Voter Fraud,' which is not a child-appropriate subject matter."
107,107,G3WmER1hjmA,False,Not Child Directed,"The video is a political discussion featuring Chris Cuomo and JD Vance.  The title and thumbnail suggest a serious political debate, which is not suitable for children.  There are no child-appealing elements present."
108,108,GD8RUoOalBU,False,Not Child Directed,"The video's title, ""The Milk Drink Paradox: How Weaker Shots Can Make Stronger Drinks,"" and thumbnail showing latte art suggest a focus on coffee making, a topic not typically engaging for children.  The techniques and terminology used are unlikely to be understood or appreciated by a child audience."
109,109,HCurhJFehuw,False,Not Child Directed,"The thumbnail contains images of world leaders, and the title mentions geopolitical events and potential international conflict.  These elements are not suitable for children."
