Unnamed: 0,Video Id,Primary Label,Predicted Label,Response
14,aYm1rvL2aP8,Child Directed,Child Directed,"The video is an animated cartoon telling a fairy tale.  The visuals are colorful and cartoonish, the story is simple and light-hearted, and the language is easy to understand for children.  These elements clearly indicate that the content is designed for a child audience."
15,B3w2__SGUYQ,Child Directed,Child Directed,"This video features cartoonish dinosaurs in a playful setting, using bright colors and simple animation.  The overall tone is light-hearted and whimsical, making it suitable for young children. The video includes rhythmic elements and is designed to entertain children."
16,BTd4f2k2F8Y,Child Directed,Child Directed,"This video features cartoonish characters, whimsical themes, and a light-hearted narrative, all of which are commonly enjoyed by children. The visuals are colorful and animated, and the gameplay is non-violent and simplified.  Therefore, it meets the criteria for child-directed content."
17,BV7StYWT6Qo,Child Directed,Not Child Directed,"The video features cartoonish characters, but the overall theme and style are not explicitly designed for children.  The characters are from various franchises, some of which are not appropriate for children. The fast-paced action and competitive nature of the gameplay are not suitable for young audiences."
18,0PrY1FnDOB8,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and playful interactions.  The animation style and lighthearted nature of the content clearly target a young audience. The use of bright colors and simple storyline further supports its classification as child-directed."
19,bXoa4AXKASY,Child Directed,Child Directed,"The video features cartoonish characters (animals and a girl), whimsical themes, and light-hearted portrayal of a situation with mild peril.  The visuals are colorful and animated, appealing to children. The overall tone and content are suitable for a young audience."
20,c1x9tb4MXeg,Child Directed,Child Directed,"The video features cartoonish dinosaurs, bright colors, and a playful theme, making it suitable for children.  The simple animation style and lack of complex dialogue or mature themes further support its child-directed nature."
21,CohWIxiD2E8,Child Directed,Child Directed,"The video features cartoonish visuals, whimsical gameplay, and light-hearted themes, making it suitable for children.  There is no violence, mature themes, or complex dialogue."
22,cWGo1tJqJXg,Child Directed,Not Child Directed,"The video contains a child wearing a head brace that appears to be a medical device.  The overall tone and imagery are not child-appealing. The scene is set in a dark, somewhat ominous alleyway.  There are no child-appealing elements present."
23,DT6BgaNLnhU,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted humor, making it suitable for children. The animation style, bright colors, and playful music further enhance its appeal to a younger audience."
24,EapwjK5JszE,Child Directed,Child Directed,"This video features cartoonish characters, whimsical themes, and a light-hearted portrayal of mischief.  The animation style and playful content are clearly aimed at a young audience. The spoken language is English."
25,ELZo29FsCTA,Child Directed,Child Directed,"The Fall Guys video game features cartoonish characters, whimsical themes, and light-hearted gameplay, making it suitable for children.  The visuals are colorful and animated, and there is no violence or mature content present.  Therefore, it meets the criteria for child-directed content."
26,eMoSqI5O9kQ,Child Directed,Child Directed,The video features an animated character with cartoonish visuals and a light-hearted theme.  The presence of cake and a whimsical atmosphere further suggests it is aimed at a younger audience.
27,F2W_EIdcsd4,Child Directed,Child Directed,"The video features cartoonish graphics, whimsical gameplay, and light-hearted themes, making it suitable for children.  The gameplay involves avoiding obstacles, which is a common element in child-friendly games. There is no violence or mature content present."
28,FcqZynKuqhI,Child Directed,Not Child Directed,"The video depicts a person's head emerging from a large, dark blue, amorphous blob. The visuals are surreal and unsettling, not typically associated with content designed for children.  There are no child-appealing elements present. The overall tone and imagery are not suitable for a child audience."
29,fM66POefeQA,Child Directed,Not Child Directed,The video contains a man sticking insects on his tongue. This is not suitable for children.
30,FoOQmnoe6DU,Child Directed,Child Directed,"This video features cartoonish dinosaurs and a dragon, bright colors, and a playful theme.  The visuals and overall tone are clearly aimed at a young audience. The absence of mature themes, violence, or complex dialogue further supports its classification as child-directed."
31,Gbz1Z4eoHu0,Child Directed,Child Directed,"The video features cartoonish dinosaurs, playful themes, and bright colors, all of which are commonly enjoyed by children.  The content is simple and easy to understand, making it suitable for a young audience. The overall tone is light-hearted and non-violent."
32,gKBPKJnRlnU,Child Directed,Child Directed,"The video features Mario and Luigi, popular cartoon characters beloved by children.  The visuals are colorful and cartoonish, and the overall tone is light-hearted and playful. The content is non-violent and suitable for family viewing.  Therefore, it meets the criteria for child-directed content."
33,GxcGVCEEdcU,Child Directed,Child Directed,"The video is an animated cartoon telling the story of the Lion and the Mouse.  It uses bright colors, simple animation, and a straightforward narrative suitable for young children. The story itself is a classic children's fable.  The spoken language is English."
34,H9GOCS1vfDc,Child Directed,Child Directed,"The video features cartoonish characters and light-hearted gameplay, making it suitable for children.  The visuals are colorful and whimsical, and the overall tone is playful.  There is no violence or mature content present."
35,harPlrV-7-I,Child Directed,Child Directed,"The video is an animated story about a princess, featuring cartoonish visuals, a light-hearted tone, and a simple narrative.  These elements strongly suggest it is designed for children. The language used is English."
36,Hh2Fk4ekBiY,Child Directed,Child Directed,The video features an animated spider character with cartoonish visuals and a light-hearted portrayal of a situation.  The overall tone and style are consistent with content designed to appeal to children.
37,HHruVzAwGfk,Child Directed,Child Directed,"The video is an animated cartoon telling the story of Goldilocks and the Three Bears.  It uses bright colors, cartoonish characters, and a simple narrative suitable for young children. The story itself is a classic children's tale.  The language is simple and easy to understand for kids. Therefore, it meets the criteria for child-directed content."
38,Hkmj9BO-VOk,Child Directed,Child Directed,"The video features cartoonish animals engaged in a playful race. The visuals are colorful and the overall tone is light-hearted and whimsical, making it suitable for children.  There is no violence or mature content present."
39,hscsM7yVZ6c,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and a light-hearted portrayal of a mildly perilous situation (encountering a snake).  The animation style and overall tone are clearly aimed at a young audience. The spoken language is English."
40,HvsGKwzTIWY,Child Directed,Child Directed,"The video features cartoonish animation, whimsical themes, and light-hearted interactions between the characters.  These elements strongly suggest that the content is designed to appeal to children."
41,it3Td-JNc8o,Child Directed,Child Directed,"This video features characters from the Super Mario franchise, known for its child-friendly content. The visuals are colorful and cartoonish, and the scene depicts a light-hearted interaction between the characters.  The overall tone and style align with content typically enjoyed by children."
42,J29j9gUxSpA,Child Directed,Child Directed,"This video features an animated pug dog, which is a child-appealing element. The video is light-hearted and does not contain any mature themes, violence, or adult humor. Therefore, it is considered child-directed."
43,jcu_WQgJgFo,Child Directed,Child Directed,"The video features cartoonish visuals, whimsical themes, and light-hearted gameplay, making it suitable for children.  The gameplay involves navigating obstacles, which is a common element in child-friendly games. There is no violence, mature themes, or inappropriate content present."
44,_xkF0plKTD8,Child Directed,Child Directed,"The video features cartoonish graphics, whimsical themes, and light-hearted gameplay, making it suitable for children.  The presence of a monkey and duck slippers further enhances its child-friendly appeal."
45,JzhGHL6Mdhs,Child Directed,Not Child Directed,"The video contains cartoonish elements, but also includes a bomb and poop, which are not suitable for children.  Therefore, it is not considered child-directed."
46,KbEzQbHZZS8,Child Directed,Child Directed,"The Fall Guys video features cartoonish characters, whimsical themes, and light-hearted gameplay, making it suitable for children.  The visuals are colorful and appealing to a younger audience. There is no violence or mature content present."
47,kihaOwmI2dw,Child Directed,Child Directed,"This video features cartoonish animals (dinosaurs and elephants) in a playful setting. The visuals are colorful and the overall tone is light-hearted and whimsical, making it suitable for children.  The presence of rhythmic elements further enhances its appeal to young viewers."
48,kOtsC7Iao8w,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted interactions between a pirate and a fairy.  The visuals are colorful and appealing to children. The overall tone and content are suitable for a young audience."
49,LfPK1IC9h3Q,Child Directed,Child Directed,"The video features an animated character with child-appealing elements such as bright colors, whimsical visuals, and a light-hearted tone.  The overall style and content suggest it is designed for children."
50,lHSumsnr9ZE,Child Directed,Child Directed,"The Fall Guys video features cartoonish characters, whimsical themes, and light-hearted gameplay, making it suitable for children.  The visuals are colorful and appealing to a younger audience. There is no violence or mature content present."
51,LXtPnXbMtuQ,Child Directed,Child Directed,"The video is an animated story with cartoonish characters and a simple narrative, making it suitable for children.  The language used is also simple and easy for children to understand. The whimsical nature of the story and the colorful animation further support its child-directed nature."
52,lzmzZaB0kss,Child Directed,Not Child Directed,"The video features three identical adult men singing in a somewhat comical manner.  While the visuals are colorful, the content lacks elements typically appealing to children, such as cartoonish characters, simple narratives, or child-friendly themes. The men's exaggerated expressions might be humorous to some adults, but it's not a style typically found in child-directed content.  There is no dialogue, only singing."
53,MehMlxlLtaU,Child Directed,Child Directed,"The video features an animated character with cartoonish visuals and a light-hearted expression.  The style and character design are clearly aimed at a younger audience. There is no violence, mature themes, or complex dialogue present."
54,Mj86wPhhj9M,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted gameplay, all of which are commonly enjoyed by children.  The overall tone and visuals are playful and non-violent, making it suitable for a young audience.  The presence of a celebratory atmosphere further enhances its child-friendly nature."
55,mKjOmB9grX0,Child Directed,Child Directed,"The video features cartoonish graphics, simple gameplay, and light-hearted themes, making it suitable for children.  There is no violence or mature content present."
56,MMF-1d5af8U,Child Directed,Child Directed,"This video features a group of Disney princesses and other popular animated characters in a playful and lighthearted setting. The visuals are colorful and cartoonish, and the overall tone is whimsical and fun, making it highly appealing to children.  The absence of mature themes, violence, or complex dialogue further supports its classification as child-directed content."
57,NA75jaXcROY,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and a light-hearted portrayal of a medical scenario.  The visuals are colorful and appealing to children. The dialogue is simple and easy to understand for young viewers.  These elements strongly suggest that the video is designed for and appeals to children."
58,nbRhQeOGU-M,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and a light-hearted portrayal of a mildly scary situation (a spider).  The animation style and overall tone are clearly aimed at a young audience. The presence of a spider is not overly frightening and is presented in a playful manner."
59,nkwRyfE67EI,Child Directed,Not Child Directed,"The movie clip is from ""Charlie and the Chocolate Factory."" While it features a child actor, the overall themes and visuals are not typically considered child-directed. The scene depicts characters in a somewhat suspenseful situation within a fantastical setting.  The expressions and actions of the characters are not light-hearted or playful enough to be considered child-directed. The movie itself has a PG rating, which is not suitable for very young children without parental guidance."
60,nnJbCsVQ0oM,Child Directed,Child Directed,"The video features cartoon animals engaging in playful interactions. The visuals are colorful and the overall tone is light-hearted and whimsical, making it suitable for children."
61,NUyT3uhbS0g,Child Directed,Child Directed,"The video is an animated story, with cartoonish characters and a whimsical theme, making it suitable for children.  The language used is simple English, and the narrative is easy to follow for young viewers. The presence of mild peril or conflict is presented appropriately for a children's story."
62,oAh_1O5qG-A,Child Directed,Child Directed,"The video features colorful, cartoonish visuals of pink soccer balls with numbers on them. The gameplay is simple and non-violent, making it suitable for children.  There is no mature content or complex dialogue. The target audience appears to be children who enjoy simple, visually appealing games."
63,oApjtkaMfAI,Child Directed,Child Directed,"The video features cartoonish dinosaurs, bright colors, and a playful theme, making it suitable for children.  The simple visuals and lack of complex dialogue further support its child-directed nature."
64,Od22SbgWsnw,Child Directed,Child Directed,"The video features cartoonish graphics, simple gameplay, and light-hearted themes, making it suitable for children.  There is no violence or mature content present."
65,OMFQtY6655E,Child Directed,Not Child Directed,"The video features Johnny Depp as Willy Wonka from the movie Charlie and the Chocolate Factory. While the movie itself may have some child-appealing elements, this particular clip shows Willy Wonka in a scene that is not explicitly designed for children.  The scene lacks the light-heartedness and simplicity typically associated with content made for children.  The overall tone and visuals are not suitable for a young audience."
66,oMiayRL7Bec,Child Directed,Child Directed,"The video is an animated story, ""The Golden Bird,"" with cartoonish characters and a simple plot, making it suitable for children.  The visuals are colorful and appealing to young viewers. The language used is simple and easy to understand for children.  The overall tone and content are light-hearted and non-violent. Spoken language: English"
67,OpDq8kR2qZQ,Child Directed,Child Directed,"The video features animated characters, whimsical themes, and light-hearted interactions, making it suitable for children.  The characters are anthropomorphic pigs, and the overall tone is playful and non-violent."
68,PAZVp1j6LdI,Child Directed,Child Directed,"The video features cartoonish characters (dinosaurs and dragons), bright colors, and a playful theme.  The animation style and overall tone are clearly aimed at a young audience. The presence of eggs and a motorcycle adds to the child-friendly nature of the content."
69,pJ4bFtzUyF8,Child Directed,Child Directed,"The video features cartoonish dinosaurs in a playful setting. The animation style, bright colors, and non-violent nature of the content clearly indicate that it is designed for children."
70,pos_Lh_kYsE,Child Directed,Not Child Directed,"The video features a person in a dark-colored uniform standing behind a counter in a store. The store is filled with numerous packages of snacks. The overall aesthetic is not child-like or cartoonish.  There are no child-appealing elements present. Therefore, it is not considered child-directed."
71,pQ5GgslLgVQ,Child Directed,Not Child Directed,The video contains a scene of a person having a green substance poured onto their face and into their mouth. This is not suitable for children.
72,QbE5JpYWhGk,Child Directed,Child Directed,"The trailer features an animated shark character in a vibrant, colorful setting. The overall tone is light-hearted and playful, with whimsical elements commonly appealing to children.  The visuals are cartoonish and the themes appear non-violent. Therefore, it meets the criteria for child-directed content."
73,QhS3JwncB9E,Child Directed,Child Directed,"The video is an animated clip from the movie ""The Secret Life of Pets 2"". It features cartoonish animals, light-hearted themes, and no mature content.  Therefore, it meets the criteria for child-directed content."
74,QlUNfFcBttU,Child Directed,Child Directed,"The video is an animated movie clip with colorful visuals, cartoonish characters, and a light-hearted portrayal of conflict.  These elements align with the criteria for child-directed content."
75,RA9uWYCEkQk,Child Directed,Child Directed,"The animation style is cartoonish, featuring bright colors and exaggerated character designs. The characters engage in playful antics, and the overall tone is light-hearted and whimsical.  The content is suitable for family viewing and does not contain any mature themes, violence, or inappropriate language."
76,RaDRlUB1uu8,Child Directed,Child Directed,"This video is a trailer for the Super Mario Bros. Movie.  The trailer features the main characters, Mario and Luigi, in a cartoonish style with bright colors and light-hearted themes. The visuals and characters are clearly designed to appeal to children, making it child-directed content."
77,RzBbL6BAp_s,Child Directed,Child Directed,"This video features Elsa and Olaf from the popular Disney movie Frozen.  The visuals are colorful and cartoonish, the characters are whimsical, and the overall tone is light-hearted and playful. These elements strongly suggest that the content is designed to appeal to children."
78,r_2S3gxP9pQ,Child Directed,Child Directed,"This video is an animated cartoon with child-like characters and a playful theme. The visuals are colorful and cartoonish, and the narrative is simple and light-hearted.  The conflict is mild and presented in a way that is not frightening or disturbing to children. Therefore, it meets the criteria for child-directed content."
79,s8uYE9r3hIg,Child Directed,Child Directed,"The video features cartoonish characters, whimsical gameplay, and light-hearted competition.  These elements are commonly appealing to children, making it child-directed content."
80,SJjZXrUWKGo,Child Directed,Child Directed,"The video features animated characters with cartoonish visuals and a light-hearted theme.  The characters are anthropomorphic animals, and the overall tone is playful and suitable for children. There is no violence, mature themes, or adult humor present."
81,sU_6exHGHOU,Child Directed,Child Directed,"The video features cartoonish visuals, whimsical gameplay, and light-hearted themes, making it appealing to children.  The gameplay is simple and non-violent.  There is no mature content or complex dialogue."
82,TCaUoYC_qXI,Child Directed,Child Directed,"The video features cartoonish animation, whimsical themes, and light-hearted portrayal of a police officer interacting with a cartoonish creature.  These elements strongly suggest it is designed to appeal to children."
83,thLeaqq3apc,Child Directed,Child Directed,"The video features cartoonish graphics, whimsical themes, and light-hearted gameplay, making it suitable for children.  The gameplay involves a character navigating obstacles in a playful manner. There is no violence or mature content present."
84,Tu_3z8Ul7OQ,Child Directed,Not Child Directed,"The video contains fantasy elements, but the overall tone and visuals are not typically associated with children's content.  The scene depicts a boat in a dark, somewhat ominous-looking water, which is not suitable for young children."
85,UcSQdQn21JI,Child Directed,Child Directed,"This Scooby Doo trailer features cartoonish visuals, light-hearted themes, and is generally suitable for family viewing, thus meeting the criteria for child-directed content."
86,uiHakl7zSrU,Child Directed,Child Directed,"The video features cartoon animals, bright colors, and a playful theme, all of which are commonly enjoyed by children.  The simple narrative and visuals are also suitable for a young audience. The video is explicitly created for children, making it child-directed."
87,vHZkHJA16NI,Child Directed,Not Child Directed,"The video contains a person with exaggerated facial expressions and a dark background, which is not suitable for children.  There are no child-appealing elements present."
88,VthTaODYLEE,Child Directed,Child Directed,"This video features cartoonish animation, whimsical themes, and light-hearted portrayal of a mermaid and a pirate.  The visuals are colorful and appealing to children. The content is suitable for family viewing and does not contain any mature themes, violence, or inappropriate language."
89,W8lvGQZbRJs,Child Directed,Child Directed,"The video features cartoonish characters and whimsical gameplay, making it suitable for children. The bright colors, playful animations, and non-violent nature of the game further support this classification."
90,xcKD3yLOJbo,Child Directed,Child Directed,"The video is an animated cartoon telling a fairy tale.  It uses bright colors, simple animation, and a story appropriate for children. The language is simple and easy to understand for young viewers."
91,Y73yweRXBZU,Child Directed,Child Directed,"The video features cartoonish animation, whimsical themes, and light-hearted portrayal of conflict, making it suitable for children.  The presence of a friendly-looking blue cat and a large, but not overtly menacing, metal dog further supports this classification. There is no mature content, violence, or complex themes present."
92,YaM4GHbEw8U,Child Directed,Not Child Directed,"The video depicts a news broadcast with a serious tone and features a somber atmosphere. The visuals are not cartoonish or child-appealing, and the content does not include elements commonly enjoyed by children.  The presence of a news anchor in a suit and a graph depicting a downward trend suggests a mature theme. Therefore, it is not considered child-directed."
93,yDWwz3wZFVg,Child Directed,Child Directed,"The video features cartoonish characters, whimsical themes, and light-hearted portrayals of mischief.  The visuals are colorful and animated, appealing to children. The content is suitable for family viewing and does not contain any mature themes, violence, or adult humor."
94,YfsjUrIcnjc,Child Directed,Child Directed,"This animated movie clip features cartoonish characters, light-hearted themes, and colorful visuals, all of which are commonly appealing to children.  The content is suitable for family viewing and does not contain any mature themes, violence, or adult humor."
95,YG7AM4e2I_g,Child Directed,Child Directed,"The video features a cartoonish character in a whimsical setting. The gameplay is non-violent and light-hearted, making it suitable for children."
96,YSPT1-AibmA,Child Directed,Child Directed,"The video features cartoonish animation, whimsical themes, and light-hearted portrayal of pirates, making it suitable for children.  The characters are colorful and appealing to young viewers. The overall tone and content are not violent or mature."
97,zEKV3uMbVCY,Child Directed,Child Directed,"The video features an animated character with cartoonish visuals and light-hearted themes, making it suitable for children.  The animation style, character design, and lack of mature content align with criteria for child-directed content."
98,zEnppRdS7Jw,Child Directed,Child Directed,"The video features cartoonish animation, whimsical themes, and light-hearted portrayal of conflict, making it suitable for children.  There is no mature content, violence, or adult humor present."
99,zUXEEsHqEiY,Child Directed,Child Directed,"The video features an anthropomorphic cheetah character in a playful and light-hearted setting. The visuals are colorful and cartoonish, appealing to children.  The content is non-violent and lacks mature themes or complex dialogue, making it suitable for a child audience."
100,2-xCEz6bEaY,Not Child Directed,Not Child Directed,"This video discusses the Menendez brothers' case, which involves the murder of their parents.  The content is serious and deals with mature themes of violence and crime, making it unsuitable for children."
101,58BHUsD24vs,Not Child Directed,Not Child Directed,"The video shows a before-and-after comparison of a young man's life, highlighting his transition from excessive social media use to a more focused and productive routine.  There are no child-appealing elements present. The content is not explicitly designed for children and does not include features commonly enjoyed by children, such as cartoonish visuals, light-hearted themes, or simplified narratives. The video's focus is on productivity and overcoming social media addiction, which are not typically topics of interest for young children."
102,5i3Y14TNqCI,Not Child Directed,Not Child Directed,"The video discusses geopolitical and economic issues related to trade between China and the U.S., using footage of trucks at a border crossing.  The topic and visuals are not appropriate for children."
103,7IGKCkcsuew,Not Child Directed,Not Child Directed,"The video depicts the aftermath of a natural disaster, showing significant destruction and debris.  The presence of heavy machinery and adults working to clean up the damage makes it unsuitable for children. There are no child-appealing elements present."
104,99_TWz5rtX4,Not Child Directed,Not Child Directed,"The video is a highlight of a soccer game featuring Lionel Messi.  The content is focused on sports and does not include any child-appealing elements such as cartoons, animation, or child-friendly themes. The video is primarily aimed at sports fans and is not designed for children."
105,9yjRbGgpaXE,Not Child Directed,Not Child Directed,"The video is a political commentary featuring images of Joe Biden, Kamala Harris, and a young man.  The content is overtly political and contains no child-appealing elements. The presence of adult figures and discussion of political matters makes it unsuitable for children."
106,A3JGXlPIrk8,Not Child Directed,Not Child Directed,"The video discusses political mayhem in Mozambique, showing violent scenes of protests and burning buildings.  The content is serious in nature and includes adult themes, making it unsuitable for children."
107,a4wyXPUAEc8,Not Child Directed,Not Child Directed,"The video discusses political and economic issues, including the UK's Halloween budget, using serious tone and vocabulary.  The visuals are not child-appealing, and the content is not designed for children."
108,aJkTiTKhoB8,Not Child Directed,Not Child Directed,"The video features Beyoncé and Jimmy Fallon, who are not typically associated with children's entertainment.  The content is a talk show segment, which is not generally designed for children.  There are no child-appealing elements present."
109,c3FFdZaPfeM,Not Child Directed,Not Child Directed,"The video discusses the economics of MTG finance, a topic that is not suitable for children.  The visuals include a graph showing price fluctuations and a Magic: The Gathering card, which are not child-appealing elements. The content is primarily focused on financial analysis and trading, making it inappropriate for a child audience."
110,cIAoz2ebBoU,Not Child Directed,Not Child Directed,"The video is a walkthrough for a zombie game.  The game's theme, visuals, and gameplay are not suitable for children. The presence of zombies and violence makes it inappropriate for a child audience."
111,cUiA1mzXs9Y,Not Child Directed,Not Child Directed,The video is a stand-up comedy routine by Max Amini.  The content is not designed for children and includes adult humor that would not be appropriate for a child audience. 
112,cWkPUZrbrgI,Not Child Directed,Not Child Directed,"The video features Tom Hardy, an adult actor, and includes a large, somewhat frightening creature.  The overall tone and content are not suitable for children."
113,d8Pcsj9UVgA,Not Child Directed,Not Child Directed,"The video discusses Kim Jong Un and his regime in North Korea, which are complex political topics inappropriate for children.  The visuals are not child-appealing; they include a portrait of Kim Jong Un and statues of previous leaders. The content is not designed for children and does not include elements commonly enjoyed by children."
114,dF965ll2J0c,Not Child Directed,Not Child Directed,"The video is a workout routine for people over 50.  It does not contain any child-appealing elements, such as cartoons or child-friendly themes. The content is geared towards adults and focuses on health and fitness for an older demographic."
115,DfwA3qMzsfo,Not Child Directed,Not Child Directed,"The video shows a rocket launch, which is a topic that is not typically of interest to children.  The video also does not contain any child-appealing elements such as cartoonish visuals, light-hearted themes, or simple narratives. Therefore, it is not considered child-directed."
116,dK2uKyBgdEc,Not Child Directed,Not Child Directed,"This video discusses the departure of a television personality from the BBC.  The content includes emotional reactions from colleagues and viewers, and commentary on the BBC's handling of the situation.  These themes are not suitable for children."
117,Ds5Ntjn3gGA,Not Child Directed,Not Child Directed,"The video shows Donald Trump speaking in a serious tone.  The title ""Late Night Tantrum!!!"" suggests a negative and adult theme. The content is not designed for children and does not contain child-appealing elements. Therefore, it is not considered child-directed."
118,EjJezkTDI6w,Not Child Directed,Not Child Directed,"The video shows a construction project, specifically the installation of a wooden beam on a brick wall.  The content is focused on the technical aspects of the work and does not include any elements that would typically appeal to children. There are no cartoonish visuals, light-hearted themes, or child-friendly narratives present."
119,eWXOTZPdcok,Not Child Directed,Not Child Directed,"The video is about Formula 1 racing, a topic that is not typically of interest to children.  The video features a fast-paced car race, which is not appropriate for young children. The video does not contain any child-appealing elements."
120,fQqmXyXLHSg,Not Child Directed,Not Child Directed,"The video discusses voter fraud, a topic inappropriate for children.  The presenter's expression of concern and the serious nature of the subject matter are not suitable for a child audience. The video lacks child-appealing elements such as bright colors, cartoon characters, or light-hearted themes. The spoken language is English."
121,G3WmER1hjmA,Not Child Directed,Not Child Directed,"The video is a NewsNation Town Hall featuring two adult men in suits shaking hands and sitting in chairs.  The audience is composed of adults. The content and style are not designed for children, nor does it contain child-appealing elements."
122,GD8RUoOalBU,Not Child Directed,Not Child Directed,"The video demonstrates how to make latte art.  It does not contain any child-appealing elements, such as cartoonish visuals, light-hearted themes, or simplified narratives. The content is instructional and focuses on a skill that is not typically associated with children."
123,HCurhJFehuw,Not Child Directed,Not Child Directed,"The video discusses geopolitical topics such as BRICS and the potential decline of the US dollar, which are not suitable for children.  The presenter's expression and tone are serious and not playful. The video does not contain any child-appealing elements such as cartoons or light-hearted themes. The content is complex and requires a certain level of understanding of international relations and economics, making it inappropriate for children."
124,HNqhoeytA0I,Not Child Directed,Not Child Directed,"The video discusses the James Webb Space Telescope, a complex scientific instrument.  The visuals are not cartoonish or child-like, and the subject matter is far beyond the typical understanding of a child.  There are no child-appealing elements present."
125,I4HdpWC663k,Not Child Directed,Not Child Directed,"The video is a gardening tutorial focused on citrus plants.  It features an adult expert giving instructions and demonstrations. The content is instructional and not designed for children. There are no child-appealing elements such as cartoons, animation, or child-friendly themes."
126,Icw3CfYVMmY,Not Child Directed,Not Child Directed,"The video shows a heartwarming moment between a baseball player and his father at a game. While the scene is positive and emotional, it lacks elements typically associated with child-directed content such as cartoonish visuals, simple narratives, or themes specifically designed for children. The content is more likely to appeal to adults interested in sports and family moments."
127,IDTMXwZgw1Q,Not Child Directed,Not Child Directed,"The video is a sports highlight reel showing a soccer game.  The content is focused on the athletic competition and does not include child-appealing elements such as cartoonish visuals, light-hearted themes, or simplified narratives. The video is not explicitly created for children and would not be considered suitable for a young audience due to its fast-paced nature and focus on a competitive adult sport."
128,J1UwRLgJS3A,Not Child Directed,Not Child Directed,"The video is a reaction video to a video game trailer. The video game itself may or may not be child-directed, but the reaction video features an adult reacting to the trailer, and therefore is not child-directed. The spoken language is English."
129,JOWoB39H3c8,Not Child Directed,Not Child Directed,"The video discusses a geopolitical conflict between Israel and Iran, showing images of explosions and featuring portraits of political leaders.  The subject matter is far too mature and complex for children.  There are no child-appealing elements present."
