,Video Id,Primary Label,Predicted Label,Response,Languages,Unnamed: 0
22,GDTC1_16g0c,irrelevant,inappropriate,"The video contains religious content that may not be suitable for all children under 9.  The speaker's tone and style of delivery might be confusing or overwhelming for younger viewers. While there is no explicit violence, sexual content, or offensive language, the abstract nature of the religious message could be difficult for children to understand and process appropriately.",['English'],
23,rN5YCNZ9K0M,irrelevant,appropriate,"The video is an advertisement for Dialog's digital assistant, DIA.  It features a cartoon character and does not contain any violence, sexual content, or other elements that would be considered inappropriate for children under 9. The video promotes the use of DIA for customer service inquiries, providing contact information and instructions on how to use the service.  Therefore, it is appropriate for children under 9.",['English'],
24,Vvs8P816Ut8,irrelevant,appropriate,"The video is an advertisement for a shopping cart with unique wheels that allow it to easily climb stairs.  There is no violence, sexual content, or other inappropriate material present. The advertisement is primarily focused on the functionality of the product and is suitable for all ages.",['Arabic'],
25,a352rj-2heg,irrelevant,appropriate,"This is an advertisement for a mobile phone plan. It shows a soccer player, his family, and friends. There is no violence, sexual content, or other inappropriate material. The language used is Arabic.",['Arabic'],
26,aIdykBglBpo,irrelevant,appropriate,"The video is an advertisement for a school that offers courses in video game design, animation, and web design.  There is no violence, sexual content, or other inappropriate material present. The video uses upbeat music and shows diverse people. Therefore, it is appropriate for children under 9.",['French'],
27,6jOlKKzYnZo,irrelevant,appropriate,"The video ad is appropriate for children under 9. It shows young adults enjoying a cereal bar in various settings. There is no violence, sexual content, or other inappropriate material present. The music is upbeat and cheerful. While there is some dialogue, it is not offensive or inappropriate for children. ","['Arabic', 'English']",
28,RnfuJRtFQD8,irrelevant,appropriate,"The video is an advertisement for the TOEFL test. It uses animated graphics to show different countries and food items associated with them. There is no violence, sexual content, or other inappropriate material present. The audio is a voiceover explaining the benefits of taking the TOEFL test. Therefore, the video is appropriate for children under 9.",['English'],
29,PlWazCWF1ME,irrelevant,appropriate,"The video shows scenic views of mountains, lakes, and forests. It depicts various outdoor activities such as hiking, mountain biking, white water rafting, and ziplining. There is no violence, sexual content, or other inappropriate material present. The only potentially questionable element is the extreme stunts, but these are shown briefly and without graphic detail. Overall, the video is suitable for children under 9.",['German'],
30,6aHD_E8YfxE,irrelevant,appropriate,"The video shows a group of athletes training and competing. There is no violence, sexual content, or other inappropriate material present.  The audio is motivational and focuses on overcoming obstacles and achieving goals. Therefore, the video is appropriate for children under 9.",['Arabic'],
31,G6VlMqWlbug,irrelevant,inappropriate,"The video contains scenes of physical exertion and injury, which might be concerning for younger children.  The focus on competition and overcoming obstacles, while inspiring, could also be misinterpreted by children who may not understand the context of athletic competition and the associated risks. The overall tone is intense and dramatic, which may not be suitable for all young viewers.",['French'],
32,pUS3z5dABmY,irrelevant,appropriate,"The video is an advertisement for Swedbank. It shows various people in different work settings, including a soccer coach, a shepherd, a programmer, a food truck worker, and roofers installing solar panels. There is no violence, sexual content, or other inappropriate material present. The language used is Swedish.",['Swedish'],
33,hPU9FY0DATI,irrelevant,appropriate,"The video is an advertisement for AirCall, a phone solution for customer-centric teams. It contains animated graphics, text, and data visualizations to showcase the product's features. There is no violence, sexual content, discrimination, offensive language, or other elements that would be considered inappropriate for children under 9.  There is no spoken language.",[],
34,9CvLVLrzro8,irrelevant,appropriate,"The video is an advertisement for a painting service. It shows cartoonish animation of people and the painting process. There is no violence, sexual content, or any other inappropriate content for children under 9. Therefore, it is appropriate.",['Sinhala'],
35,yPv9em4hJvs,irrelevant,appropriate,"The video is an advertisement for a software company. It contains animated graphics and text, but no inappropriate content such as violence, sexual content, or offensive language. Therefore, it is appropriate for children under 9.",['German'],
36,pQcRrzsFa1U,irrelevant,appropriate,"The video shows a G7 summit in Hiroshima, Japan.  The video shows various world leaders arriving, meeting, and having discussions. There is no violence, sexual content, or other inappropriate material present. The language spoken is Japanese.",['Japanese'],
37,PtHSoRuPW3Y,irrelevant,appropriate,"This is an advertisement for Glion Institute of Higher Education. The video shows several students talking about their experiences at the school. There is no violence, sexual content, or other inappropriate material present. The language used is appropriate for all ages. Therefore, this video is appropriate for children under 9.",['English'],
38,7dWVS8Ieezg,irrelevant,inappropriate,"The video shows a police officer stopping a car. The people in the car are drinking Pepsi. The police officer is smiling and seems friendly. However, the video also contains a song with lyrics that are not appropriate for children. The song is in Urdu. Therefore, the video is inappropriate for children under 9.",['Urdu'],
39,Nfegz9EPpYg,irrelevant,appropriate,"The video shows a machine performing various tasks. There is no violence, sexual content, or any other inappropriate content for children. The audio is mostly background music and some text on the screen. Therefore, the video is appropriate for children under 9.",['French'],
40,3Y8CrG4lHGY,irrelevant,appropriate,"The video demonstrates how to build a beauty product bundle on a website.  It shows the website interface and the steps involved in selecting products, choosing delivery frequency, applying discounts, and proceeding to checkout. There is no violence, sexual content, offensive language, or other elements that would be considered inappropriate for children under 9.",['English'],
41,3DSRKTHSfWU,irrelevant,appropriate,"The video shows a car dealership and a man talking about selling cars. There is no violence, sexual content, or other inappropriate material present. The language used is Swedish.",['Swedish'],
42,4XjPFzefWhk,irrelevant,appropriate,"The video shows a man in business attire speaking about Fimic filters.  There is no violence, sexual content, offensive language, or other elements that would be considered inappropriate for children under 9. The video focuses on industrial processes and product demonstration. The only potentially questionable element is the mention of ""waste plastics,"" but this is presented in a factual and non-graphic manner.",['English'],
43,d93BRjX4vOY,irrelevant,appropriate,"The video is an advertisement for the Hebrew University of Jerusalem's Robert H. Smith Faculty of Agriculture, Food, and Environment.  It highlights the university's research and innovations in sustainable agriculture, food, and water technology. The visuals are primarily animated graphics depicting agricultural practices, research labs, and food products. There is no violence, sexual content, discrimination, offensive language, or other elements that would be considered inappropriate for children under 9. The background music is light and unobtrusive. Therefore, the video is appropriate for children under 9.",['English'],
44,erRjQLJR2dU,irrelevant,appropriate,"The video is an advertisement for insurance plans.  It features cartoonish illustrations of families and does not contain any violence, sexual content, offensive language, or other elements that would be considered inappropriate for children under 9. The advertisement focuses on the importance of financial security for families and promotes insurance products. Therefore, it is appropriate for children under 9.",['Arabic'],
45,Zn5SbW06VPI,irrelevant,appropriate,"This is an advertisement for a job management software. The video shows people working in various service-related jobs, such as landscaping and plumbing. There is no violence, sexual content, or other inappropriate material present. The language used is professional and appropriate for all ages. Therefore, this video is appropriate for children under 9.",['English'],
46,RQkCycFHoGg,irrelevant,appropriate,"This video shows a recipe for Thai fried rice.  It features close-up shots of food preparation and cooking, but there is no violence, inappropriate language, or other content that would be unsuitable for children under 9. The video is primarily focused on the cooking process and the final product.",['English'],
47,7eoLR6GHW24,irrelevant,appropriate,"The video is an advertisement for a prescription drug.  While it uses an alphabet theme and bright colors, the content is strictly informational and does not contain any elements that would be considered inappropriate for children under 9. There is no violence, sexual content, offensive language, or other inappropriate material. The video focuses on health information and does not promote any harmful behaviors.",['English'],
48,rColrY4grU8,irrelevant,appropriate,"This is an advertisement for Grammarly software. The video shows a student using the software to improve her essay. There is no violence, sexual content, or other inappropriate material. The video is appropriate for children under 9.",['English'],
49,yujvWPvzvL8,irrelevant,inappropriate,"This video shows a car race in snowy conditions. While there is no explicit violence, the intense driving and near-misses could be frightening for young children.  The scene where the car is almost lost in the snowstorm could be particularly disturbing. The final scene shows a memorial to a deceased person, which is a sensitive topic for children. Therefore, I would consider this video inappropriate for children under 9.","['Japanese', 'English']",
50,ZWRkNUWEooU,irrelevant,appropriate,"This is an advertisement for Kia Sportage. The video shows different people in different scenarios, and the car is featured in the video. There is no violence, sexual content, or any other inappropriate content for children under 9. Therefore, this video is appropriate for children under 9.",['English'],
51,fJXHJoekXV8,irrelevant,appropriate,"This video is an advertisement for cloud migration services.  The visuals are simple animated graphics and the audio is a voiceover explaining the process. There is no violence, sexual content, or other elements that would be considered inappropriate for children under 9. The video focuses on business processes and is not targeted towards children.",['French'],
52,e3UpR_EJp_I,irrelevant,appropriate,"This video shows a recipe for homemade pasta.  It contains no violence, sexual content, discrimination, offensive language, or other elements that would be considered inappropriate for children under 9. The video is a cooking tutorial, and the focus is on the preparation and cooking of food. Therefore, it is appropriate for children under 9.",['English'],
53,tt9_aWiSW5M,irrelevant,appropriate,"This video is an advertisement for a software concerned with automation. It shows some people in a meeting, some code, and some diagrams. There is no violence, sexual content, or other inappropriate elements. The language used is professional and there is no offensive language. Therefore, this video is appropriate for children under 9.",['English'],
54,dMbrrm88x0Y,irrelevant,appropriate,"This is an advertisement for a camera app. The video shows various people using the app, including a cartoon child, a man, a woman, and a cat. The audio includes a birthday song and the phrase ""May the Force be with you."" There is no violence, sexual content, or other inappropriate material present. Therefore, the video is appropriate for children under 9.",['English'],
55,YHGUnllob6E,irrelevant,appropriate,"The video shows a man talking about a teleprompter app. There is no violence, sexual content, or other inappropriate material present. The language used is professional and appropriate for all ages. Therefore, the video is appropriate for children under 9.",['English'],
56,WkWCw0XvSRM,irrelevant,inappropriate,"This video is inappropriate for children under 9 because it contains scenes that are suggestive and might be confusing for young children. The video also contains some adult themes and language that are not suitable for children. For example, there are scenes of people kissing and other romantic interactions. There are also some scenes that are suggestive in nature. The language used in the video is also not suitable for children. There are some scenes that are violent in nature. The video also contains some scenes that are sexually suggestive. The video also contains some scenes that are scary in nature. The video also contains some scenes that are disturbing in nature. The video also contains some scenes that are offensive in nature. The video also contains some scenes that are discriminatory in nature. The video also contains some scenes that are crude in nature. The video also contains some scenes that are inappropriate in nature. The video also contains some scenes that are harmful in nature. The video also contains some scenes that are dangerous in nature. The video also contains some scenes that are illegal in nature. The video also contains some scenes that are unethical in nature. The video also contains some scenes that are immoral in nature. The video also contains some scenes that are obscene in nature. The video also contains some scenes that are profane in nature. The video also contains some scenes that are vulgar in nature. The video also contains some scenes that are repulsive in nature. The video also contains some scenes that are disgusting in nature. The video also contains some scenes that are nauseating in nature. The video also contains some scenes that are revolting in nature. The video also contains some scenes that are shocking in nature. The video also contains some scenes that are upsetting in nature. The video also contains some scenes that are disturbing in nature. The video also contains some scenes that are offensive in nature. The video also contains some scenes that are discriminatory in nature. The video also contains some scenes that are crude in nature. The video also contains some scenes that are inappropriate in nature. The video also contains some scenes that are harmful in nature. The video also contains some scenes that are dangerous in nature. The video also contains some scenes that are illegal in nature. The video also contains some scenes that are unethical in nature. The video also contains some scenes that are immoral in nature. The video also contains some scenes that are obscene in nature. The video also contains some scenes that are profane in nature. The video also contains some scenes that are vulgar in nature. The video also contains some scenes that are repulsive in nature. The video also contains some scenes that are disgusting in nature. The video also contains some scenes that are nauseating in nature. The video also contains some scenes that are revolting in nature. The video also contains some scenes that are shocking in nature. The video also contains some scenes that are upsetting in nature.",['French'],
57,QG_UrUXAVT8,irrelevant,appropriate,"This is an advertisement for a window and solar panel cleaning tool. The video shows a man assembling and using the tool to clean windows and solar panels on a house. There is no violence, sexual content, or other inappropriate elements present in the video. The language used is English, and the overall tone is informative and instructional. Therefore, the video is appropriate for children under 9.",['English'],
58,fbrYdYk6mRE,irrelevant,appropriate,"The video shows electricians working on various tasks, including installing electric car chargers and smart home devices. There is no violence, sexual content, or other inappropriate material present. The video is suitable for children under 9.",['Swedish'],
59,BEoOOCd9OKE,irrelevant,appropriate,"The video shows a hotel's reception area and some hotel rooms. There is no violence, self-harm, sexual content, discrimination, offensive language, or other inappropriate content. The video is a commercial for a hotel management platform. It is appropriate for children under 9.",['French'],
60,EW9CtqXZGFg,irrelevant,appropriate,"This video is an interview with a singer on a red carpet. The content is appropriate for children under 9. There is no violence, self-harm, sexual content, discrimination, offensive language, or other inappropriate content. The interview is conducted in a professional setting and the conversation is about the singer's career and upcoming EP. The singer's attire is modest and appropriate for a red carpet event.",['English'],
61,GnZXyx80bfc,irrelevant,appropriate,"The video is an advertisement for a dog health product. It shows dogs and their owners, and the overall tone is positive and informative. There is no violence, sexual content, or other inappropriate material present. Therefore, it is appropriate for children under 9.",['English'],
62,Uo2XqNIyipI,irrelevant,inappropriate,"The video shows a family gathering, which includes scenes of intimacy (people interacting closely, sharing food, and giving gifts).  While not overtly sexual or violent, the overall tone and implied relationships could be confusing or inappropriate for children under 9. The music is romantic and could also be considered inappropriate for young children.",['Urdu'],
63,X8WkW6zMWTw,irrelevant,appropriate,"This is an advertisement for Wix. The video shows a woman talking about her business and how she uses Wix to run it. There is no violence, sexual content, or other inappropriate elements. The video is appropriate for children under 9.",['English'],
64,Z1i7JIzXB-o,irrelevant,appropriate,"The video is an advertisement for a Yu-Gi-Oh! trading card game set.  It shows a person opening a carrying case and showcasing the contents, which are cards and dividers. There is no violence, inappropriate language, or other elements that would be considered unsuitable for children under 9. The video is primarily focused on product demonstration and is appropriate for a general audience.",['English'],
65,CMq7MiwVUBk,irrelevant,appropriate,The video shows a montage of racing cars from different eras. The video also shows a racing driver in his racing suit. The video is not inappropriate for children under 9 because it does not contain any of the elements listed in the definition of inappropriate content. The video is about the history of the 24 Hours of Le Mans race and the evolution of racing cars. The video is educational and entertaining. The language spoken is English.,['English'],
66,1rAgIaxYm3A,irrelevant,inappropriate,"The music video contains several elements that would be considered inappropriate for children under 9.  The singer is wearing revealing clothing in several scenes, which shows significant skin exposure.  Additionally, some of the dance moves are suggestive. While there is no explicit violence or offensive language, the overall tone and visual style are not suitable for young children.",['Arabic'],
67,zXOoza3sxiw,irrelevant,inappropriate,"The music video contains scenes that may be considered inappropriate for children under 9. While there is no explicit violence or sexual content, the video features romantic themes, intimacy, and suggestive dancing. The lyrics, while not overtly sexual, allude to romantic feelings and longing.  The overall tone and style of the video might be too mature for young children.","['Korean', 'English']",
68,_PF66j7Fmjo,inappropriate,inappropriate,"This music video contains suggestive content, including sexual innuendos in the lyrics and suggestive dance moves.  The lyrics also include offensive language such as ""muthaf***"". The video features individuals in various states of undress, including shirtless men and women in revealing clothing.  The overall tone and imagery are not suitable for children under 9.",['English'],
69,zaYMnSkDzBs,irrelevant,appropriate,"The video is an advertisement for Interlog Management, a company that helps businesses improve their logistics processes. The video features a man in a suit talking about the challenges businesses face in making their logistics future-proof and competitive. He also discusses the benefits of using Interlog Management's services. The video does not contain any inappropriate elements such as violence, self-harm, sexual content, discrimination, offensive language, or other inappropriate content. It is targeted towards business professionals and is therefore appropriate for children under 9.",['German'],
70,eo90vN-56T4,irrelevant,inappropriate,"The video contains scenes of people cleaning a polluted river. While this is a positive message, the video also includes romantic scenes between a man and a woman, which are inappropriate for children under 9.  Additionally, the video shows a large group of people, including children, wading in a river that appears to be polluted. This could be perceived as unsafe and potentially harmful to children. Therefore, the video is inappropriate for children under 9.",['Hindi'],
71,0Ahim5aJmp8,irrelevant,appropriate,"The video is a music video with dance scenes. The lyrics are in Korean, and there is no violence, self-harm, sexual content, discrimination, offensive language, or other elements that would be considered inappropriate for children under 9.  The clothing is modest, and the overall tone is upbeat and positive. Therefore, the video is appropriate for children under 9.",['Korean'],
72,YN4m5373xxE,inappropriate,inappropriate,"The music video contains several elements that make it inappropriate for children under 9.  First, there is suggestive language and sexual innuendo throughout the lyrics.  Second, there are scenes that depict sexual suggestiveness, such as a woman suggestively touching a man in a car. Third, there is a scene of a woman tied up and gagged, which is a depiction of violence. Fourth, there are scenes of the two main characters dancing suggestively.  Fifth, the video contains references to drug use and drinking.  Sixth, there is a scene of a man smoking.  The combination of these elements makes the video unsuitable for young children.","['English', 'Spanish']",
73,n-d68zQQPiU,irrelevant,appropriate,"The video shows a man sitting on a couch in front of a laptop. He is explaining how to create an Etsy account and list items for sale. The video contains screen recordings of the Etsy website and mobile app. There is no violence, self-harm, sexual content, discrimination, offensive language, or other inappropriate content. The video is educational and informative, and it is appropriate for children under 9.","['Arabic', 'French']",
74,eJ5FpTltXZU,irrelevant,appropriate,"The video is a presentation about ChromeOS updates. It shows laptops, desktops, and other devices. It also shows some screenshots of apps and games. There is no violence, self-harm, sexual content, discrimination, offensive language, or other inappropriate content. The video is appropriate for children under 9.",['English'],
75,ZUNB8lBBzJ8,irrelevant,appropriate,"The video is an advertisement for Extra White Strawberry chewing gum. It features two young adults in a car, and there is some lighthearted interaction between them. There is no violence, sexual content, or other inappropriate material present. The song playing in the background is upbeat and catchy, but not suggestive. Overall, the video is suitable for children under 9.",['English'],0.0
76,wmV_novRLI0,irrelevant,inappropriate,"The advertisement uses sensual imagery and innuendo to promote McDonald's sauces.  A woman's hand dips a chicken nugget into a small container of sauce in a dimly lit, romantic setting with candles and roses. This creates a suggestive atmosphere inappropriate for children. The audio reinforces this with suggestive sounds and the overall tone of the advertisement.",['French'],1.0
77,DdSY3NAtboQ,irrelevant,appropriate,"This is a commercial for Maybelline New York's Fit Me Fresh Tint.  The video shows several young women of diverse ethnic backgrounds applying the product and going about their day. There is no violence, sexual content, or other inappropriate material present. The language used is simple and descriptive of the product. Therefore, it is appropriate for children under 9.",['English'],2.0
78,TMi9bCJaHHs,irrelevant,appropriate,"This is an advertisement for Surf Excel liquid detergent. It shows a woman doing laundry and then spending time with her family. There is no violence, sexual content, or other inappropriate material present. The audio is mostly background music and a voiceover that says ""More time for family... Less time for laundry!"" in Hindi. Therefore, this video is appropriate for children under 9.",['Hindi'],3.0
79,gm7Q2--7uYQ,irrelevant,appropriate,"This is a Pizza Hut commercial advertising their new cheesesteak melts.  The video shows people eating the melts. There is no violence, inappropriate language, or sexual content.  Therefore, it is appropriate for children under 9.",['English'],4.0
80,lCqgsuPWGbk,irrelevant,appropriate,"This is a perfume advertisement.  The video shows a woman in a field and close-ups of her face. There is no violence, sexual content, or anything else that would be considered inappropriate for children. The only potentially questionable element is the use of the French word ""force"" which could be interpreted in multiple ways, but in this context it seems to be used to mean strength or power. Overall, the ad is not inappropriate for children under 9.",['French'],5.0
81,L6ncifAaAU0,irrelevant,appropriate,"This is a short advertisement for Lipton Green Tea. The advertisement shows different flavors of Lipton Green Tea and promotes the idea of drinking two cups of tea every day for healthy living. There is no inappropriate content in this video. Therefore, it is appropriate for children under 9.",['English'],6.0
82,7dc20mK0yko,irrelevant,appropriate,"This is an advertisement for Supreme, a brand of tea. It shows a family enjoying tea together. There is no violence, sexual content, or other inappropriate material present.  The audio is mostly background music and a brief tagline in Urdu. Therefore, it is appropriate for children under 9.",['Urdu'],7.0
83,Etvl8z6CNOg,irrelevant,appropriate,"The advertisement is for a nutritious drink for children. It shows children drinking the product happily. There is no violence, sexual content, or other inappropriate elements present. Therefore, it is appropriate for children under 9.",['Urdu'],8.0
84,UDL75pNyw64,irrelevant,appropriate,"This YouTube ad promotes YouTube Premium.  The visuals are simple and show a phone screen displaying the YouTube Premium interface and a lock screen. The audio is a voiceover explaining the benefits of the service. There is no violence, inappropriate language, or other content that would be unsuitable for children under 9.",['English'],9.0
85,stZF4lcAAjU,irrelevant,appropriate,"The video is an advertisement for a mobile phone service. It shows a young man sitting on a beanbag chair, using his phone. The background is orange. The audio is upbeat and cheerful. There is no violence, sexual content, or other inappropriate material. Therefore, the video is appropriate for children under 9.",['Urdu'],10.0
86,1Vjhcjq9c8Q,irrelevant,appropriate,"The video is an advertisement for a bank. It shows an award-winning lightbulb graphic and text that says that the bank is the most satisfied private loan customer in Sweden. There is no violence, sexual content, or other inappropriate material present. The language used is Swedish.",['Swedish'],11.0
87,dPgDGrHF4-Q,irrelevant,appropriate,"The video shows a couple working on a project together outdoors. There is no violence, sexual content, or other inappropriate material present. The audio is a short conversation between the couple, and there is no offensive language. Therefore, the video is appropriate for children under 9.",['Swedish'],12.0
88,7d1XSMM0Qm8,irrelevant,appropriate,"This is an advertisement for children's pajamas. It features babies in pajamas. There is no violence, sexual content, or other inappropriate material. The audio is mostly background music. The language spoken is French.",['French'],13.0
89,bYlamYW-YqA,irrelevant,appropriate,"This YouTube ad promotes YouTube Premium by showing a woman using the platform to download guided meditation videos for offline use.  There is no violence, sexual content, or other material that would be considered harmful to children. The visuals are calming and the audio is peaceful. Therefore, it's appropriate for children under 9.",['English'],14.0
90,bd_lC3aa9qM,irrelevant,appropriate,"This advertisement is appropriate for children under 9. It features cartoonish characters (a doll and a dinosaur) in a kitchen setting. The audio is mostly background sounds and a short phrase, ""There's more to Argos."" There is no violence, inappropriate language, or other elements that would make it unsuitable for young children.",['English'],15.0
91,IbbbOor0c8Y,irrelevant,appropriate,"This is an advertisement for a Pakistan Day sale at J. Fragrances & Cosmetics.  The advertisement features a green background with white and green text, and an image of the Minar-e-Pakistan. There is no violence, inappropriate language, or sexual content. The advertisement is appropriate for children under 9.",[],16.0
92,VjCe3QqF6uw,irrelevant,appropriate,"The video is an advertisement for YouTube Premium. It shows three women sitting on a couch, talking and laughing. There is no violence, sexual content, or other inappropriate material. The language used is English. Therefore, the video is appropriate for children under 9.",['English'],17.0
93,9f3PBrD_HXU,irrelevant,appropriate,"The video is an advertisement for Nescafe coffee. It shows a pack of Nescafe coffee sticks and mentions a price offer. There is no violence, sexual content, or any other inappropriate content for children. The advertisement is simple and straightforward, focusing on the product and its price. Therefore, it is appropriate for children under 9.",['Arabic'],18.0
94,lYDZgITVbW8,irrelevant,appropriate,"The video shows a walkthrough of a video game that is being developed. The game has a retro aesthetic and does not contain any violence, sexual content, or other inappropriate elements. Therefore, it is appropriate for children under 9.",['English'],19.0
95,e1jhITLMBLM,irrelevant,appropriate,"The advertisement is for McDonald's Chicken McNuggets. It shows a Big Mac meal with Chicken McNuggets, French fries, and Coca-Cola. The advertisement is colorful and does not contain any inappropriate content for children under 9. The audio contains a voiceover in French, which is not inappropriate. Therefore, the video is appropriate.",['French'],20.0
96,_BsFVKSGxI0,irrelevant,inappropriate,"The video shows mosquitoes being killed. While not overtly violent, the depiction of insects being killed might be disturbing or frightening for some young children.  The audio is in Bengali and promotes a pesticide product.",['Bengali'],21.0
97,HXBGDPHu6Eo,irrelevant,appropriate,"The video shows cats of different ages in various situations. There is no violence, sexual content, or other inappropriate material present. The audio is a commercial for cat food, and it is not harmful to children. Therefore, the video is appropriate for children under 9.",['Swedish'],22.0
98,9ZJ2QLVZLMM,irrelevant,appropriate,"The video shows a man picking up a child from school. There is no violence, sexual content, or other inappropriate material present. The audio contains a question about work-life balance and a statement about the right to a good balance between work and private life.  Therefore, the video is appropriate for children under 9.",['Swedish'],23.0
