ID,Label,Language,Justification
elsagate_3318,true,"['English', 'Vietnamese']","This video is child-directed because it features popular cartoon characters like Spiderman and the Hulk in a playful setting. The content is light-hearted and does not contain any mature themes or inappropriate language.  However, the presence of toy guns and the depiction of violence between the characters at timestamp 0:53-1:01 could be considered inappropriate for very young children. Parental guidance may be advised for this part of the video."
elsagate_3322,false,"['English', 'Vietnamese']","This video is not child-directed. It contains violence, weapons, and characters that are not typically associated with children's content. The use of toy guns and the playful nature of the video might seem child-appealing at first glance, but the overall context of the video, including the violent actions and the presence of characters like the Joker, makes it unsuitable for children."
elsagate_3852,false,['English'],"This video is not child-directed. The video uses the finger family song, which is a children's song, but the visuals are disturbing and inappropriate for children. The characters are depicted in a violent and grotesque manner, which is not suitable for a young audience. The timestamp 0:06-0:17, 0:27-0:35, 0:45-0:53, 1:03-1:11, 1:21-1:29, 1:44-2:02, 2:07-2:18, 2:31-2:42 shows inappropriate content."
elsagate_3856,false,['Vietnamese'],This video is not child-directed. It depicts adults playing on the beach at night. There is no content that is specifically designed for children or includes child-appealing elements.
elsagate_3963,false,['English'],This video is not child-directed because it contains inappropriate content such as suggestive themes and violence. The video shows scantily clad women and depicts violence against a male character. These elements are not suitable for children and make the video inappropriate for a child audience. Inappropriate content is present throughout the video.
elsagate_3966,true,['English'],"This video is child-directed because it uses child-appealing elements such as animated characters and a nursery rhyme. The song is a finger family rhyme, which is commonly used for children. There is no inappropriate or irrelevant content."
elsagate_3980,true,['English'],"This video is child-directed because it contains animated characters, playful animals, and light-hearted themes suitable for young children. The video also uses simple language and avoids mature visuals or adult humor. There is no inappropriate or irrelevant content."
elsagate_3982,false,['Chinese'],"This video is not child-directed because it contains inappropriate content such as violence, suggestive themes, and mature humor.  The video also features characters that are sexualized versions of well-known children's characters. These elements are not suitable for children and make the video inappropriate for a child audience. Inappropriate content is present throughout the video."
elsagate_3983,false,['English'],"This video is not child-directed because it contains inappropriate content such as suggestive themes and violence. The video shows characters engaging in sexualized behavior and violence, which is not suitable for children.  These scenes start at 0:22 and continue throughout the video."
elsagate_4029,false,['English'],"This video is not child-directed because it contains inappropriate content such as violence, suggestive themes, and sexual innuendo. The video also includes scenes that are not suitable for children, such as a character urinating on a plant and another character being attacked by snakes. These scenes are present throughout the video and are not limited to a specific timestamp."
elsagate_4030,false,['English'],"The video is not child-directed because it contains suggestive content. The Spider-Man characters are depicted in a way that is sexually suggestive, and the song is not a nursery rhyme or poem. The inappropriate content is present throughout the entire video."
elsagate_4060,true,['English'],"This video is child-directed because it contains animated characters, playful sounds, and light-hearted themes. The content is suitable for children and does not include any inappropriate or irrelevant content."
elsagate_4062,false,['English'],"This video is not child-directed because it contains inappropriate content such as violence, suggestive themes, and mature humor. The video shows cartoon characters engaging in actions that are not suitable for children. For example, at timestamp 0:09, a character is shown drowning, and at timestamp 0:39, there is a scene of violence.  The video also includes suggestive themes and mature humor throughout."
elsagate_4081,false,['English'],"The video is not child-directed because it contains sexually suggestive content. The characters in the video are wearing revealing clothing, and the overall tone of the video is not appropriate for children."
elsagate_4112,true,['English'],"This video is child-directed because it contains animated characters, playful themes, and simple adventures that are commonly enjoyed by children. There is no inappropriate or irrelevant content."
elsagate_4134,false,['English'],"This video is not child-directed because it contains violence and inappropriate content. The video shows a police officer being beaten up by thugs, and a baby being vacuumed. These scenes are not suitable for children. The timestamp for the inappropriate content is from 0:00 to 10:55."
elsagate_4160,false,['English'],"This video is not child-directed because it contains inappropriate content such as violence, weapons, and death. The video shows baby versions of Mickey and Minnie Mouse engaging in dangerous and violent acts, including causing each other harm and even death.  Additionally, there are scenes of a police officer pointing a gun at a baby Mickey Mouse. These elements are not suitable for children and violate the safety guidelines for child-directed content. The inappropriate content starts from 0:51 and continues throughout the video."
elsagate_4185,false,['English'],"This video is not child-directed because it contains inappropriate content such as suggestive themes and violence. The video shows characters in bikinis and suggestive poses, which is not suitable for children. Additionally, there are scenes of violence, such as characters being hit and injured, which is also not appropriate for a child audience. These scenes start from 00:00:00 and continue throughout the video."
elsagate_4191,false,['English'],"This video is not child-directed because it contains violence, and inappropriate content. The video shows a police officer being beaten up by thugs, and a pregnant woman considering using a chainsaw. These scenes are not suitable for children and violate the safety guidelines for child-directed content."
elsagate_4193,false,['English'],"This video is not child-directed because it contains inappropriate content such as violence, weapons, and suggestive themes.  These elements are not suitable for children and violate content moderation guidelines for child safety. The inappropriate content starts at 0:56 and continues throughout the video."
elsagate_4213,true,['Tagalog'],"This video is child-directed because it features animated characters that are child-appealing, such as Mickey and Minnie Mouse. The themes are light-hearted and family-friendly, focusing on simple adventures and playful scenarios. There is no mature content, strong language, or adult humor present. However, some scenes contain violent and disturbing imagery, such as characters being electrocuted, burned, and injured. These scenes are inappropriate for children and should be removed or edited to make the video suitable for its intended audience. The timestamps of these scenes are 0:05, 0:10, 0:15, 0:21, 0:27, 0:33, 1:03, 1:16, 1:35, 1:43, 2:16, 2:28, 2:45, 3:00, 3:36, 4:20, 5:15, 5:46, 6:03, 6:32, 7:05, 7:27, 8:06, 8:39, 9:03, 9:15, 9:45, 10:05, 10:38, 10:55."
